week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
2-Oct-21,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,-8.50%,-3.10%,2,4.20%,-22.90%,-1.60%,8.80%,0.60%
2-Oct-21,47900,"washington-arlington-alexandria, dc-va-md-wv",7,-2.70%,10.10%,0,0.00%,-18.90%,-1.90%,39.90%,1.50%
2-Oct-21,33100,"miami-fort lauderdale-west palm beach, fl",8,13.10%,-47.70%,-33,-35.90%,-15.00%,1.30%,-44.30%,-0.50%
2-Oct-21,12060,"atlanta-sandy springs-roswell, ga",9,6.70%,-27.30%,-4,-9.50%,-2.00%,1.20%,-19.80%,-0.20%
2-Oct-21,14460,"boston-cambridge-newton, ma-nh",10,0.00%,-20.20%,-7,-23.30%,-4.80%,2.10%,-17.70%,0.00%
2-Oct-21,41860,"san francisco-oakland-hayward, ca",11,-8.50%,-24.00%,0,0.00%,-15.30%,0.40%,-33.30%,-0.60%
2-Oct-21,19820,"detroit-warren-dearborn, mi",12,-7.10%,-6.90%,-6,-16.20%,3.70%,1.50%,1.50%,0.60%
2-Oct-21,38060,"phoenix-mesa-scottsdale, az",13,8.00%,-16.60%,3,9.70%,-14.80%,0.20%,-10.60%,0.30%
2-Oct-21,42660,"seattle-tacoma-bellevue, wa",14,8.00%,-42.60%,-1,-2.90%,-18.90%,0.50%,-34.10%,-0.50%
2-Oct-21,33460,"minneapolis-st. paul-bloomington, mn-wi",15,0.00%,-8.90%,0,0.00%,-10.00%,0.00%,9.00%,0.80%
2-Oct-21,40140,"riverside-san bernardino-ontario, ca",16,15.10%,-5.50%,4,12.50%,-0.50%,1.20%,27.50%,1.00%
2-Oct-21,45300,"tampa-st. petersburg-clearwater, fl",17,18.00%,-39.20%,-9,-18.00%,-13.30%,0.80%,-17.90%,0.10%
2-Oct-21,41740,"san diego-carlsbad, ca",18,0.10%,-31.80%,22,220.00%,-24.80%,-0.10%,-39.80%,-0.80%
2-Oct-21,41180,"st. louis, mo-il",19,-5.70%,-19.70%,-6,-10.90%,-18.50%,-0.30%,-19.30%,-0.20%
2-Oct-21,19740,"denver-aurora-lakewood, co",20,19.60%,-28.90%,-11,-31.40%,-3.30%,2.20%,-22.30%,0.00%
2-Oct-21,12580,"baltimore-columbia-towson, md",21,-6.90%,-6.50%,-2,-4.80%,-23.50%,-1.40%,17.50%,1.20%
2-Oct-21,38300,"pittsburgh, pa",22,-10.00%,-9.50%,-6,-10.70%,-2.10%,0.60%,6.70%,0.80%
2-Oct-21,38900,"portland-vancouver-hillsboro, or-wa",23,6.00%,-17.50%,-6,-13.60%,-4.50%,0.70%,66.50%,2.90%
2-Oct-21,16740,"charlotte-concord-gastonia, nc-sc",24,7.20%,-28.90%,-6,-14.60%,-19.70%,1.00%,6.60%,1.70%
2-Oct-21,36740,"orlando-kissimmee-sanford, fl",25,16.90%,-45.90%,-16,-27.10%,-5.30%,1.80%,-36.70%,-0.60%
2-Oct-21,17460,"cleveland-elyria, oh",26,-12.00%,-4.30%,5,11.90%,4.80%,0.80%,0.30%,0.20%
2-Oct-21,41700,"san antonio-new braunfels, tx",27,11.70%,-24.90%,-8,-15.70%,5.90%,1.40%,3.30%,0.70%
2-Oct-21,17140,"cincinnati, oh-ky-in",28,-1.50%,-7.10%,0,0.00%,-10.40%,-0.40%,8.50%,0.60%
2-Oct-21,40900,"sacramento--roseville--arden-arcade, ca",29,9.40%,-1.70%,0,0.00%,-13.20%,0.10%,29.00%,1.50%
2-Oct-21,28140,"kansas city, mo-ks",30,-8.60%,-4.80%,-2,-4.30%,-6.50%,-0.30%,4.30%,0.20%
2-Oct-21,18140,"columbus, oh",31,-3.30%,-1.90%,-2,-6.50%,3.20%,1.10%,13.20%,1.00%
2-Oct-21,26900,"indianapolis-carmel-anderson, in",32,0.00%,-24.90%,-5,-11.40%,-12.70%,0.50%,-31.20%,-0.80%
2-Oct-21,29820,"las vegas-henderson-paradise, nv",33,25.20%,-32.40%,-11,-26.80%,-7.90%,3.20%,-25.00%,0.40%
2-Oct-21,12420,"austin-round rock, tx",34,34.90%,-8.40%,-15,-31.90%,-1.60%,3.90%,25.00%,2.70%
2-Oct-21,34980,"nashville-davidson--murfreesboro--franklin, tn",35,12.50%,-38.10%,-8,-25.80%,-12.20%,3.00%,-6.80%,1.30%
2-Oct-21,41940,"san jose-sunnyvale-santa clara, ca",36,5.10%,-26.60%,6,22.20%,-6.50%,0.80%,-22.10%,-0.30%
2-Oct-21,47260,"virginia beach-norfolk-newport news, va-nc",37,-3.10%,-16.90%,-5,-13.20%,1.10%,2.10%,7.40%,1.00%
2-Oct-21,33340,"milwaukee-waukesha-west allis, wi",38,-8.30%,-0.90%,-2,-4.80%,-3.40%,0.20%,7.60%,0.60%
2-Oct-21,39300,"providence-warwick, ri-ma",39,2.20%,-13.10%,3,8.80%,-13.00%,0.20%,6.40%,0.60%
2-Oct-21,27260,"jacksonville, fl",40,11.60%,-26.60%,-13,-24.10%,21.00%,2.00%,19.70%,0.80%
2-Oct-21,36420,"oklahoma city, ok",41,-4.30%,-24.70%,2,4.50%,-29.50%,-1.40%,-19.40%,-0.20%
2-Oct-21,31140,"louisville/jefferson county, ky-in",42,-7.40%,0.70%,-6,-17.10%,13.70%,1.50%,16.10%,0.70%
2-Oct-21,32820,"memphis, tn-ms-ar",43,1.90%,-17.80%,-5,-11.40%,-16.10%,-0.80%,-28.70%,-0.60%
2-Oct-21,35380,"new orleans-metairie, la",44,0.00%,-16.50%,4,6.30%,-13.50%,-0.10%,-32.40%,-0.80%
2-Oct-21,40060,"richmond, va",45,-4.30%,-21.30%,2,4.80%,-17.00%,-0.50%,2.00%,0.30%
2-Oct-21,39580,"raleigh, nc",46,7.70%,-50.70%,-31,-63.30%,-8.60%,4.30%,-36.90%,-0.10%
2-Oct-21,15380,"buffalo-cheektowaga-niagara falls, ny",47,0.40%,-8.10%,17,54.80%,-15.90%,-0.40%,-16.00%,-0.10%
2-Oct-21,25540,"hartford-west hartford-east hartford, ct",48,10.00%,-54.80%,0,0.00%,-13.00%,-2.20%,-19.40%,-1.20%
2-Oct-21,13820,"birmingham-hoover, al",49,5.70%,-27.80%,-3,-6.10%,-15.80%,0.10%,-12.50%,0.10%
2-Oct-21,40380,"rochester, ny",50,-8.20%,-22.90%,-7,-24.10%,-3.70%,3.80%,-21.60%,0.10%
2-Oct-21,46060,"tucson, az",51,9.10%,5.00%,0,0.00%,1.90%,1.10%,24.80%,1.10%
2-Oct-21,41620,"salt lake city, ut",52,9.20%,-1.10%,-11,-31.40%,2.30%,1.50%,9.60%,0.90%
2-Oct-21,24340,"grand rapids-wyoming, mi",53,6.40%,-21.90%,-7,-15.60%,-11.40%,0.80%,-18.90%,0.00%
2-Oct-21,46140,"tulsa, ok",54,-3.60%,-22.20%,-4,-8.20%,-4.50%,0.20%,-23.60%,-0.70%
2-Oct-21,10580,"albany-schenectady-troy, ny",55,-5.80%,-28.60%,10,18.90%,-30.10%,-0.80%,-32.50%,-0.40%
2-Oct-21,10740,"albuquerque, nm",56,5.80%,-25.00%,1,2.40%,-17.30%,-0.10%,-18.40%,-0.10%
2-Oct-21,36540,"omaha-council bluffs, ne-ia",57,-7.70%,-15.90%,-4,-9.50%,2.00%,1.30%,8.40%,0.50%
2-Oct-21,49340,"worcester, ma-ct",58,6.70%,-11.40%,0,0.00%,-2.60%,-1.10%,8.90%,0.20%
2-Oct-21,28940,"knoxville, tn",59,2.80%,-17.30%,-8,-16.00%,19.70%,2.20%,7.00%,0.40%
2-Oct-21,14860,"bridgeport-stamford-norwalk, ct",60,18.30%,-51.60%,10,20.00%,-24.40%,-1.00%,-24.80%,-0.50%
2-Oct-21,24860,"greenville-anderson-mauldin, sc",61,12.00%,-35.10%,-9,-15.80%,20.10%,2.20%,-19.60%,-0.30%
2-Oct-21,35840,"north port-sarasota-bradenton, fl",62,28.40%,-63.60%,-21,-33.30%,-20.10%,2.10%,-46.30%,-0.40%
2-Oct-21,35300,"new haven-milford, ct",63,15.50%,-54.80%,2,4.80%,-22.00%,-2.80%,-17.90%,-1.00%
2-Oct-21,19380,"dayton, oh",64,2.50%,-4.90%,1,2.90%,-1.10%,0.20%,19.70%,1.00%
2-Oct-21,46520,"urban honolulu, hi",65,13.90%,30.60%,-32,-41.60%,23.80%,2.70%,-36.80%,-0.50%
2-Oct-21,10900,"allentown-bethlehem-easton, pa-nj",66,5.30%,-10.70%,8,26.70%,-19.60%,-2.10%,-15.20%,-0.60%
2-Oct-21,17900,"columbia, sc",67,13.10%,-29.40%,-10,-26.30%,-21.90%,1.10%,-29.50%,-0.10%
2-Oct-21,12940,"baton rouge, la",68,7.90%,-45.20%,-12,-15.20%,-5.80%,1.50%,-50.30%,-1.20%
2-Oct-21,24660,"greensboro-high point, nc",69,-5.90%,-19.10%,-4,-9.30%,14.10%,-2.80%,-18.10%,-1.90%
2-Oct-21,23420,"fresno, ca",70,14.00%,-1.00%,4,15.40%,-6.60%,-0.30%,25.40%,1.10%
2-Oct-21,16700,"charleston-north charleston, sc",71,1.60%,-48.50%,-23,-37.70%,8.70%,3.50%,-49.60%,-1.30%
2-Oct-21,30780,"little rock-north little rock-conway, ar",72,-1.40%,-25.60%,0,0.00%,14.70%,0.50%,1.00%,-0.30%
2-Oct-21,15980,"cape coral-fort myers, fl",73,22.10%,-61.40%,-26,-37.10%,-15.30%,2.30%,-39.70%,-0.10%
2-Oct-21,10420,"akron, oh",74,-0.10%,8.50%,4,11.10%,6.70%,0.40%,8.70%,0.20%
2-Oct-21,21340,"el paso, tx",75,12.50%,-17.10%,-1,-2.10%,3.30%,2.30%,-39.70%,-0.80%
2-Oct-21,37100,"oxnard-thousand oaks-ventura, ca",76,3.50%,-28.50%,7,24.10%,-22.00%,0.10%,-31.70%,-0.40%
2-Oct-21,17820,"colorado springs, co",77,8.90%,6.40%,-8,-25.00%,32.60%,4.10%,43.00%,1.60%
2-Oct-21,31540,"madison, wi",78,8.30%,-16.00%,-4,-8.30%,-17.30%,-0.60%,29.10%,1.40%
2-Oct-21,12540,"bakersfield, ca",79,8.10%,6.20%,-2,-6.10%,18.60%,1.90%,-9.20%,-0.40%
2-Oct-21,49180,"winston-salem, nc",80,-9.50%,-14.80%,-8,-16.30%,10.20%,-2.50%,-11.00%,-1.40%
2-Oct-21,45060,"syracuse, ny",81,-3.40%,-13.00%,11,22.00%,-24.90%,-0.90%,-30.00%,-0.50%
2-Oct-21,19660,"deltona-daytona beach-ormond beach, fl",82,20.80%,-32.10%,-14,-25.50%,1.30%,2.00%,11.70%,1.50%
2-Oct-21,14260,"boise city, id",83,20.80%,150.30%,5,16.10%,13.30%,-0.80%,591.10%,5.70%
2-Oct-21,48620,"wichita, ks",84,-13.80%,-13.10%,0,0.00%,-3.80%,0.60%,-4.30%,0.20%
2-Oct-21,45780,"toledo, oh",85,-16.70%,-3.30%,-3,-7.10%,-10.10%,-0.70%,44.70%,2.30%
2-Oct-21,19780,"des moines-west des moines, ia",86,9.00%,-23.40%,0,0.00%,-4.30%,0.50%,49.10%,2.10%
2-Oct-21,44140,"springfield, ma",87,-9.80%,-25.90%,-7,-18.40%,-14.50%,0.80%,12.50%,1.60%
2-Oct-21,29460,"lakeland-winter haven, fl",88,26.00%,-48.30%,-22,-36.10%,2.00%,2.70%,-18.90%,0.30%
2-Oct-21,37340,"palm bay-melbourne-titusville, fl",89,6.10%,-31.00%,-9,-16.40%,-9.40%,0.10%,-4.30%,0.20%
2-Oct-21,32580,"mcallen-edinburg-mission, tx",90,17.80%,-6.30%,-20,-28.20%,28.70%,-1.20%,0.00%,-1.30%
2-Oct-21,25420,"harrisburg-carlisle, pa",91,-7.10%,-4.90%,-1,-2.00%,-34.80%,-3.80%,25.40%,0.90%
2-Oct-21,42540,"scranton--wilkes-barre--hazleton, pa",92,-7.50%,-15.20%,-6,-11.80%,11.20%,2.10%,32.10%,1.70%
2-Oct-21,12260,"augusta-richmond county, ga-sc",93,7.30%,-14.40%,-8,-13.80%,22.90%,0.90%,13.80%,0.10%
2-Oct-21,49660,"youngstown-warren-boardman, oh-pa",94,-7.80%,-2.70%,-6,-10.90%,17.50%,1.40%,49.20%,1.60%
2-Oct-21,44700,"stockton-lodi, ca",95,17.60%,30.80%,0,0.00%,-2.50%,-0.20%,121.20%,1.90%
2-Oct-21,20500,"durham-chapel hill, nc",96,5.60%,-34.50%,-33,-52.40%,10.80%,4.70%,-13.30%,0.80%
2-Oct-21,38860,"portland-south portland, me",97,5.40%,-27.50%,-5,-12.80%,-27.70%,-0.30%,14.30%,2.00%
2-Oct-21,44060,"spokane-spokane valley, wa",98,14.10%,14.60%,0,0.00%,9.50%,1.60%,71.80%,2.10%
2-Oct-21,16860,"chattanooga, tn-ga",99,1.80%,-22.30%,-9,-18.00%,3.20%,0.60%,-10.10%,-0.20%
2-Oct-21,27140,"jackson, ms",100,-3.30%,-35.50%,-10,-14.30%,0.00%,-0.90%,18.20%,0.20%
25-Sep-21,35620,"new york-newark-jersey city, ny-nj-pa",1,-2.20%,-15.50%,-3,-5.80%,-7.30%,0.40%,-25.30%,-0.50%
25-Sep-21,31080,"los angeles-long beach-anaheim, ca",2,-8.20%,-27.50%,0,0.00%,-15.40%,0.60%,-23.40%,-0.10%
25-Sep-21,16980,"chicago-naperville-elgin, il-in-wi",3,-5.40%,-18.60%,-4,-9.50%,-11.30%,0.40%,-12.90%,0.10%
25-Sep-21,19100,"dallas-fort worth-arlington, tx",4,9.80%,-33.20%,-9,-19.60%,-3.00%,1.30%,-23.90%,-0.30%
25-Sep-21,26420,"houston-the woodlands-sugar land, tx",5,6.70%,-19.10%,-7,-13.70%,14.60%,1.80%,12.90%,1.00%
25-Sep-21,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,-7.60%,0.10%,4,9.30%,0.70%,-4.60%,14.60%,-1.70%
25-Sep-21,47900,"washington-arlington-alexandria, dc-va-md-wv",7,-1.90%,15.90%,6,21.40%,6.90%,-4.40%,44.90%,-0.40%
25-Sep-21,33100,"miami-fort lauderdale-west palm beach, fl",8,13.10%,-47.40%,-33,-35.90%,-10.10%,1.50%,-43.60%,-0.50%
25-Sep-21,12060,"atlanta-sandy springs-roswell, ga",9,7.30%,-27.70%,-5,-11.90%,-10.90%,0.50%,-15.70%,0.00%
25-Sep-21,14460,"boston-cambridge-newton, ma-nh",10,0.10%,-20.70%,-7,-22.60%,-9.50%,1.40%,-28.80%,-0.80%
25-Sep-21,41860,"san francisco-oakland-hayward, ca",11,-9.10%,-22.00%,0,0.00%,-14.90%,0.30%,-34.90%,-0.80%
25-Sep-21,19820,"detroit-warren-dearborn, mi",12,-7.40%,-8.90%,-7,-18.90%,0.90%,1.30%,-0.10%,0.60%
25-Sep-21,38060,"phoenix-mesa-scottsdale, az",13,8.30%,-16.90%,0,0.00%,-6.10%,0.90%,5.80%,0.90%
25-Sep-21,42660,"seattle-tacoma-bellevue, wa",14,10.40%,-39.00%,-5,-14.30%,-8.40%,1.50%,-31.50%,-0.50%
25-Sep-21,33460,"minneapolis-st. paul-bloomington, mn-wi",15,0.00%,-8.40%,-3,-8.60%,-3.00%,0.60%,25.60%,1.30%
25-Sep-21,40140,"riverside-san bernardino-ontario, ca",16,13.60%,-5.90%,2,6.10%,-16.00%,-0.10%,26.00%,1.00%
25-Sep-21,45300,"tampa-st. petersburg-clearwater, fl",17,20.00%,-37.90%,-13,-26.00%,-3.20%,1.40%,-19.20%,-0.10%
25-Sep-21,41740,"san diego-carlsbad, ca",18,0.00%,-30.40%,18,128.60%,-80.50%,-20.70%,20.80%,1.70%
25-Sep-21,41180,"st. louis, mo-il",19,-3.80%,-17.60%,-10,-17.50%,-18.80%,-0.40%,-11.50%,0.20%
25-Sep-21,19740,"denver-aurora-lakewood, co",20,17.50%,-32.40%,-11,-31.40%,-15.80%,1.10%,-16.60%,0.50%
25-Sep-21,12580,"baltimore-columbia-towson, md",21,-1.50%,-4.00%,2,5.70%,2.10%,-5.10%,19.70%,-1.60%
25-Sep-21,38300,"pittsburgh, pa",22,-9.20%,-10.20%,-8,-14.50%,-4.20%,0.50%,-1.40%,0.50%
25-Sep-21,38900,"portland-vancouver-hillsboro, or-wa",23,6.30%,-17.40%,-6,-14.30%,-1.20%,1.10%,69.50%,2.90%
25-Sep-21,16740,"charlotte-concord-gastonia, nc-sc",24,6.40%,-27.10%,-7,-18.40%,-8.30%,2.10%,-5.50%,0.90%
25-Sep-21,36740,"orlando-kissimmee-sanford, fl",25,16.90%,-45.90%,-18,-31.00%,-4.80%,1.80%,-46.90%,-1.20%
25-Sep-21,17460,"cleveland-elyria, oh",26,-13.60%,-5.80%,4,9.50%,-17.70%,-1.10%,-3.60%,0.10%
25-Sep-21,41700,"san antonio-new braunfels, tx",27,10.40%,-23.70%,-7,-14.00%,-1.60%,0.90%,8.60%,0.90%
25-Sep-21,17140,"cincinnati, oh-ky-in",28,-1.00%,-6.20%,0,0.00%,0.10%,0.50%,31.40%,1.20%
25-Sep-21,40900,"sacramento--roseville--arden-arcade, ca",29,9.10%,1.60%,-1,-2.90%,-8.70%,0.60%,29.90%,1.60%
25-Sep-21,28140,"kansas city, mo-ks",30,-9.50%,-3.10%,-3,-6.40%,-7.70%,-0.50%,0.30%,0.10%
25-Sep-21,18140,"columbus, oh",31,-5.00%,-2.20%,-3,-9.70%,-3.20%,0.60%,-0.90%,0.40%
25-Sep-21,26900,"indianapolis-carmel-anderson, in",32,-2.50%,-25.80%,-5,-11.60%,-16.10%,0.20%,-24.20%,-0.30%
25-Sep-21,29820,"las vegas-henderson-paradise, nv",33,25.80%,-33.20%,-11,-27.50%,-7.20%,3.30%,-23.30%,0.70%
25-Sep-21,12420,"austin-round rock, tx",34,30.10%,-8.20%,-16,-34.80%,-6.20%,3.40%,45.20%,4.10%
25-Sep-21,34980,"nashville-davidson--murfreesboro--franklin, tn",35,12.50%,-42.00%,-11,-33.30%,-14.20%,2.80%,-20.20%,0.70%
25-Sep-21,41940,"san jose-sunnyvale-santa clara, ca",36,4.20%,-28.70%,6,24.00%,-18.40%,-0.50%,-33.90%,-0.70%
25-Sep-21,47260,"virginia beach-norfolk-newport news, va-nc",37,-5.10%,-16.20%,-4,-11.10%,2.10%,2.10%,21.00%,1.40%
25-Sep-21,33340,"milwaukee-waukesha-west allis, wi",38,-11.30%,-0.90%,-3,-7.30%,-14.00%,-0.80%,6.20%,0.60%
25-Sep-21,39300,"providence-warwick, ri-ma",39,2.40%,-10.60%,3,9.40%,-4.50%,1.00%,-7.10%,0.20%
25-Sep-21,27260,"jacksonville, fl",40,12.10%,-30.00%,-18,-32.10%,11.60%,1.50%,4.60%,0.40%
25-Sep-21,36420,"oklahoma city, ok",41,-2.10%,-19.90%,-4,-8.20%,-27.30%,-1.30%,-9.70%,0.10%
25-Sep-21,31140,"louisville/jefferson county, ky-in",42,-5.70%,-5.60%,-3,-8.80%,-15.60%,-1.10%,11.10%,0.70%
25-Sep-21,32820,"memphis, tn-ms-ar",43,-7.70%,-13.20%,-6,-13.30%,-12.10%,-0.60%,9.40%,0.40%
25-Sep-21,35380,"new orleans-metairie, la",44,0.90%,-14.50%,1,1.60%,-19.50%,-0.50%,-34.80%,-1.00%
25-Sep-21,40060,"richmond, va",45,-5.30%,-20.00%,0,0.00%,-11.40%,-0.10%,-20.90%,-0.30%
25-Sep-21,39580,"raleigh, nc",46,7.70%,-51.40%,-29,-59.20%,-0.80%,4.80%,-36.30%,-0.10%
25-Sep-21,15380,"buffalo-cheektowaga-niagara falls, ny",47,-2.20%,-8.60%,12,37.50%,-10.40%,0.00%,-9.50%,0.00%
25-Sep-21,25540,"hartford-west hartford-east hartford, ct",48,10.00%,-55.50%,1,2.40%,5.20%,-0.70%,-11.90%,-1.00%
25-Sep-21,13820,"birmingham-hoover, al",49,4.10%,-28.40%,-3,-6.10%,-20.50%,-0.40%,-32.00%,-0.50%
25-Sep-21,40380,"rochester, ny",50,-6.70%,-24.30%,-6,-21.40%,-16.60%,1.50%,-33.90%,-0.70%
25-Sep-21,46060,"tucson, az",51,10.30%,-0.10%,-2,-5.60%,-11.50%,0.00%,38.50%,1.60%
25-Sep-21,41620,"salt lake city, ut",52,13.10%,-4.80%,-9,-28.10%,3.10%,1.60%,8.60%,0.90%
25-Sep-21,24340,"grand rapids-wyoming, mi",53,5.00%,-22.20%,-8,-17.80%,8.50%,2.60%,-23.90%,-0.20%
25-Sep-21,46140,"tulsa, ok",54,-6.20%,-20.90%,-8,-15.40%,0.00%,0.50%,-5.40%,0.00%
25-Sep-21,10580,"albany-schenectady-troy, ny",55,-5.70%,-27.80%,6,11.30%,-19.30%,-0.10%,-22.90%,-0.20%
25-Sep-21,10740,"albuquerque, nm",56,2.70%,-22.70%,-2,-4.80%,-14.70%,0.10%,-21.10%,-0.30%
25-Sep-21,36540,"omaha-council bluffs, ne-ia",57,-11.30%,-16.90%,-8,-18.20%,-8.00%,0.50%,11.70%,0.60%
25-Sep-21,49340,"worcester, ma-ct",58,6.60%,-11.00%,-1,-3.20%,1.80%,-0.50%,9.30%,0.20%
25-Sep-21,28940,"knoxville, tn",59,2.30%,-19.90%,-8,-15.40%,-9.80%,0.10%,-1.50%,0.30%
25-Sep-21,14860,"bridgeport-stamford-norwalk, ct",60,18.60%,-51.40%,7,13.20%,-30.80%,-1.50%,-19.90%,-0.30%
25-Sep-21,24860,"greenville-anderson-mauldin, sc",61,12.40%,-38.00%,-12,-21.10%,-19.40%,-0.40%,-38.00%,-0.80%
25-Sep-21,35840,"north port-sarasota-bradenton, fl",62,30.00%,-63.10%,-26,-40.60%,-7.40%,3.00%,-36.20%,0.10%
25-Sep-21,35300,"new haven-milford, ct",63,16.10%,-54.30%,0,0.00%,-18.00%,-2.50%,-10.50%,-0.80%
25-Sep-21,19380,"dayton, oh",64,-8.70%,-4.20%,0,0.00%,-8.50%,-0.20%,23.10%,1.30%
25-Sep-21,46520,"urban honolulu, hi",65,16.90%,30.90%,-32,-41.60%,25.70%,2.90%,-28.40%,-0.30%
25-Sep-21,10900,"allentown-bethlehem-easton, pa-nj",66,3.40%,-7.60%,6,19.40%,-15.80%,-3.30%,-5.10%,-0.60%
25-Sep-21,17900,"columbia, sc",67,12.70%,-25.10%,-9,-24.30%,-5.60%,2.60%,-22.10%,0.00%
25-Sep-21,12940,"baton rouge, la",68,9.30%,-46.00%,-15,-18.50%,-4.40%,1.50%,-35.50%,-0.40%
25-Sep-21,24660,"greensboro-high point, nc",69,-6.00%,-21.70%,-11,-22.00%,-11.70%,-5.00%,18.90%,-0.60%
25-Sep-21,23420,"fresno, ca",70,17.10%,4.20%,2,7.40%,0.80%,0.20%,-11.40%,-0.40%
25-Sep-21,16700,"charleston-north charleston, sc",71,1.00%,-49.00%,-23,-38.30%,-18.90%,1.50%,-27.80%,0.30%
25-Sep-21,30780,"little rock-north little rock-conway, ar",72,6.00%,-25.50%,-3,-6.50%,8.20%,0.20%,-4.00%,-0.30%
25-Sep-21,15980,"cape coral-fort myers, fl",73,23.90%,-62.40%,-27,-37.50%,-20.40%,1.70%,-53.10%,-0.60%
25-Sep-21,10420,"akron, oh",74,0.00%,3.10%,6,17.10%,-6.00%,-0.50%,23.90%,0.80%
25-Sep-21,21340,"el paso, tx",75,16.60%,-17.80%,3,6.70%,21.40%,4.10%,-19.70%,-0.10%
25-Sep-21,37100,"oxnard-thousand oaks-ventura, ca",76,0.10%,-21.80%,10,40.00%,-13.90%,0.70%,1.40%,0.80%
25-Sep-21,17820,"colorado springs, co",77,10.10%,-4.50%,-10,-30.30%,6.90%,2.10%,47.40%,2.40%
25-Sep-21,31540,"madison, wi",78,4.50%,-12.40%,-9,-19.10%,-4.10%,0.60%,13.50%,0.70%
25-Sep-21,12540,"bakersfield, ca",79,6.50%,0.40%,-1,-3.10%,7.50%,1.30%,8.20%,0.50%
25-Sep-21,49180,"winston-salem, nc",80,-10.50%,-13.60%,-11,-22.00%,22.20%,-1.70%,6.80%,-0.80%
25-Sep-21,45060,"syracuse, ny",81,-7.10%,-13.20%,0,0.00%,-19.50%,-0.40%,2.60%,0.40%
25-Sep-21,19660,"deltona-daytona beach-ormond beach, fl",82,21.30%,-33.00%,-15,-27.80%,-11.00%,1.00%,-7.70%,0.60%
25-Sep-21,14260,"boise city, id",83,23.00%,145.70%,3,9.40%,0.50%,-1.40%,993.80%,8.40%
25-Sep-21,48620,"wichita, ks",84,-12.10%,-10.90%,-1,-2.30%,-3.90%,0.70%,3.40%,0.50%
25-Sep-21,45780,"toledo, oh",85,-15.50%,3.30%,-2,-5.10%,-3.10%,-0.20%,66.30%,2.50%
25-Sep-21,19780,"des moines-west des moines, ia",86,11.60%,-25.10%,2,3.80%,-10.00%,0.10%,28.80%,1.40%
25-Sep-21,44140,"springfield, ma",87,-7.20%,-20.30%,-11,-26.20%,-8.50%,1.00%,-21.50%,-0.40%
25-Sep-21,29460,"lakeland-winter haven, fl",88,26.50%,-50.20%,-22,-36.70%,-8.40%,1.80%,-26.50%,0.10%
25-Sep-21,37340,"palm bay-melbourne-titusville, fl",89,6.10%,-26.40%,-11,-21.20%,2.40%,0.80%,-1.40%,0.30%
25-Sep-21,32580,"mcallen-edinburg-mission, tx",90,15.30%,-5.90%,-24,-32.90%,41.40%,-0.50%,9.70%,-0.70%
25-Sep-21,25420,"harrisburg-carlisle, pa",91,-7.70%,-9.00%,6,14.30%,42.20%,-5.10%,3.80%,-3.40%
25-Sep-21,42540,"scranton--wilkes-barre--hazleton, pa",92,-5.00%,-15.00%,-8,-15.10%,-15.00%,0.00%,27.30%,1.50%
25-Sep-21,12260,"augusta-richmond county, ga-sc",93,5.40%,-16.40%,-5,-9.30%,-20.10%,-1.80%,-5.90%,-0.20%
25-Sep-21,49660,"youngstown-warren-boardman, oh-pa",94,-7.10%,-2.90%,-7,-12.50%,0.70%,0.20%,27.10%,1.10%
25-Sep-21,44700,"stockton-lodi, ca",95,17.50%,34.90%,-5,-14.70%,-8.30%,-0.90%,86.00%,1.60%
25-Sep-21,20500,"durham-chapel hill, nc",96,4.90%,-38.00%,-23,-39.70%,-24.90%,1.00%,-33.30%,-0.10%
25-Sep-21,38860,"portland-south portland, me",97,5.90%,-19.80%,-4,-10.50%,12.70%,3.40%,4.40%,0.80%
25-Sep-21,44060,"spokane-spokane valley, wa",98,12.80%,9.80%,-1,-2.90%,-1.40%,0.90%,72.50%,2.00%
25-Sep-21,16860,"chattanooga, tn-ga",99,-0.10%,-20.90%,-9,-18.00%,-8.80%,-0.10%,46.70%,1.50%
25-Sep-21,27140,"jackson, ms",100,-11.30%,-37.00%,-15,-21.10%,-41.70%,0.20%,-52.00%,-0.60%
18-Sep-21,35620,"new york-newark-jersey city, ny-nj-pa",1,-3.70%,-15.40%,-2,-3.90%,-12.90%,0.00%,-27.10%,-0.60%
18-Sep-21,31080,"los angeles-long beach-anaheim, ca",2,-8.60%,-26.30%,1,2.90%,-12.10%,0.90%,-33.30%,-0.50%
18-Sep-21,16980,"chicago-naperville-elgin, il-in-wi",3,-4.30%,-17.90%,-4,-9.50%,-11.10%,0.50%,-16.60%,0.00%
18-Sep-21,19100,"dallas-fort worth-arlington, tx",4,10.30%,-34.00%,-10,-21.70%,-3.80%,1.40%,-19.70%,-0.10%
18-Sep-21,26420,"houston-the woodlands-sugar land, tx",5,6.90%,-21.00%,-7,-14.00%,-12.00%,0.10%,-2.90%,0.50%
18-Sep-21,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,-7.00%,3.10%,4,9.30%,11.40%,-4.10%,13.90%,-2.00%
